iter	MAE
0	1350204.463
1	1343037.777
2	1335579.487
3	1329435.1
4	1319135.826
5	1312422.344
6	1304802.953
7	1295706.703
8	1287415.044
9	1279515.962
10	1271872.213
11	1264651.052
12	1256293.451
13	1248485.829
14	1240354.336
15	1232579.201
16	1224863.063
17	1217396.018
18	1209600.053
19	1201667.927
20	1194137.66
21	1186835.442
22	1179518.526
23	1172463.741
24	1164897.565
25	1158576.422
26	1151142.223
27	1144117.831
28	1137279.35
29	1130409.552
30	1123256.031
31	1116233.154
32	1109549.524
33	1102757.618
34	1096059.782
35	1089537.228
36	1082864.197
37	1076647.903
38	1070237.666
39	1064028.338
40	1057901.427
41	1051862.344
42	1045981.334
43	1040677.223
44	1034841.756
45	1028778.694
46	1022901.779
47	1016596.941
48	1010815.646
49	1005278.897
50	999593.7616
51	994223.9981
52	988539.8459
53	982996.1498
54	977862.6409
55	972800.3812
56	967874.524
57	962433.5723
58	957376.8853
59	952157.6587
60	947256.4321
61	942459.1694
62	937334.9279
63	932516.1882
64	927740.8543
65	923088.5964
66	918263.8076
67	913600.5605
68	908901.6781
69	904086.1972
70	899449.2732
71	894818.072
72	890438.841
73	886621.9679
74	882081.8923
75	877499.9189
76	873284.6927
77	869011.6827
78	865371.4755
79	861192.5827
80	856870.5601
81	852818.3697
82	848385.421
83	844580.5741
84	840540.8462
85	836752.6591
86	832758.7087
87	828641.3489
88	824603.3933
89	820502.8815
90	817004.7094
91	813701.5787
92	809827.7796
93	806409.8033
94	803049.4694
95	799538.1054
96	795637.2794
97	792339.4689
98	788586.0573
99	784987.4429
100	781855.5317
101	778737.5225
102	775519.4049
103	772360.22
104	769124.8944
105	765947.0965
106	762596.0062
107	759282.6928
108	756114.4143
109	753054.419
110	749939.1539
111	746899.3283
112	743736.1248
113	740908.9306
114	737960.9641
115	734964.1423
116	732367.7295
117	729670.9106
118	726974.4878
119	724514.0721
120	721777.2571
121	718775.1325
122	716207.3882
123	713244.7513
124	710579.3021
125	707654.8416
126	704813.4474
127	702020.9921
128	699709.0831
129	697040.9123
130	694710.27
131	691995.5657
132	689525.0958
133	687083.2078
134	684417.865
135	681876.5953
136	679523.2568
137	677236.0138
138	675012.367
139	672522.1022
140	669827.6375
141	667344.3954
142	664714.4422
143	662302.0332
144	659908.8111
145	657402.8231
146	655232.7605
147	653093.3081
148	651123.9525
149	648942.4096
150	646710.0951
151	644998.523
152	642856.0827
153	640784.6328
154	638565.5869
155	636651.963
156	634990.1968
157	632827.8416
158	630637.9866
159	628541.2745
160	626515.1416
161	624099.6041
162	622288.6253
163	620209.395
164	618451.9295
165	616687.7027
166	614829.8322
167	613040.9385
168	611225.8601
169	609727.4916
170	607481.9045
171	605443.5692
172	603616.7526
173	602002.8677
174	600468.8334
175	598819.7211
176	597025.0341
177	595258.1864
178	593439.6905
179	591738.179
180	590012.7429
181	588382.7795
182	586940.8216
183	585273.7184
184	583888.7706
185	582236.3141
186	580741.1568
187	579025.4409
188	577584.8733
189	575990.1671
190	574559.4502
191	573086.9155
192	571568.8068
193	570130.8566
194	568560.9282
195	567095.4894
196	565914.635
197	564660.7082
198	563649.5423
199	563017.9676
200	561888.1393
201	560697.4278
202	559723.8167
203	558633.6752
204	557361.0831
205	556152.5933
206	554900.9957
207	553809.6479
208	552649.9998
209	551448.3653
210	550372.9555
211	549364.3007
212	548597.3326
213	547726.9159
214	546771.9473
215	545928.6855
216	544865.7849
217	544342.3116
218	543788.726
219	542834.8436
220	542021.3991
221	540871.6414
222	539995.32
223	538992.176
224	537969.617
225	537153.226
226	536312.3018
227	535310.5197
228	534202.0714
229	533205.5166
230	532255.505
231	531395.5907
232	530428.6292
233	529641.9698
234	529028.286
235	528729.9313
236	527812.2823
237	526853.7655
238	525830.5288
239	524671.5969
240	523994.7632
241	523195.0425
242	522451.4757
243	521596.3303
244	520588.0924
245	519888.8458
246	519117.5661
247	518536.6792
248	517544.4884
249	516895.016
250	516285.3281
251	515685.5064
252	514860.6277
253	513879.6229
254	513191.4253
255	512461.3084
256	511892.5448
257	511023.2008
258	510505.67
259	509788.052
260	509041.1154
261	508351.7816
262	507812.5342
263	507018.2569
264	506243.8766
265	505405.018
266	504765.8193
267	504159.7631
268	503516.3186
269	502542.376
270	501851.4126
271	501102.7682
272	500730.5715
273	500149.5858
274	499594.6414
275	498913.1738
276	498221.9036
277	497695.7937
278	497311.9186
279	496748.5334
280	496116.9833
281	495736.7345
282	494941.3972
283	494565.8999
284	494201.8113
285	493843.8992
286	493515.0909
287	493235.6247
288	492886.5874
289	492625.0647
290	492122.4299
291	491772.9598
292	491356.9695
293	490915.3706
294	490537.2486
295	490086.767
296	489593.8221
297	489319.8326
298	488953.2997
299	488622.6457
300	488342.5497
301	487594.1531
302	487132.2605
303	486715.8565
304	486487.0085
305	486137.609
306	485621.1218
307	485178.4824
308	484481.7962
309	483927.9014
310	483438.769
311	483029.9783
312	482429.6492
313	482125.2683
314	481579.3598
315	481318.7457
316	480874.8586
317	480067.1811
318	479626.7631
319	479154.7499
320	478926.7687
321	478735.8099
322	478309.4887
323	477854.599
324	477624.708
325	477392.7701
326	477030.3763
327	476739.4906
328	476632.481
329	476239.6572
330	475964.5575
331	475524.7119
332	475095.7474
333	474540.1751
334	474142.6747
335	473736.1206
336	473291.4425
337	472863.1044
338	472460.4543
339	471951.9179
340	471344.6354
341	471036.4339
342	470697.7429
343	470470.297
344	470311.3146
345	469931.1138
346	469491.9072
347	469064.1789
348	468601.9333
349	468297.7273
350	467979.2951
351	467565.727
352	467262.5061
353	467060.3514
354	466756.0515
355	466590.2176
356	466449.3563
357	466202.932
358	465904.8771
359	465572.5667
360	465077.0041
361	464794.5525
362	464668.2508
363	464357.8536
364	464073.9887
365	463826.2981
366	463757.7051
367	463349.7448
368	463099.3261
369	462897.7733
370	462768.5789
371	462456.6247
372	462042.2221
373	461725.7685
374	461603.2106
375	461355.3945
376	461046.4158
377	460646.4547
378	460364.3034
379	460164.2606
380	460031.284
381	459607.3741
382	459348.4907
383	459116.208
384	458747.9084
385	458457.1694
386	458202.2848
387	457995.839
388	457688.4008
389	457467.4595
390	457278.1062
391	456926.7383
392	456720.2821
393	456559.5803
394	456372.722
395	456081.4589
396	455883.8602
397	455659.4077
398	455523.3249
399	455278.7027
400	455137.8221
401	455039.844
402	454797.1446
403	454608.7133
404	454386.4261
405	454225.4761
406	454137.4078
407	453881.3747
408	453740.2763
409	453651.2108
410	453442.3234
411	453201.499
412	452971.76
413	452880.3753
414	452593.707
415	452177.6527
416	451719.8005
417	451521.4093
418	451247.8496
419	451206.4986
420	450768.4304
421	450692.8251
422	450622.4819
423	450442.9951
424	450024.4982
425	449750.1949
426	448929.6618
427	448681.0588
428	448468.1747
429	448197.7445
430	447958.1035
431	447559.5613
432	447244.4569
433	447066.3559
434	446882.9423
435	446664.8212
436	446448.1527
437	446355.3198
438	446059.0142
439	445878.1525
440	445511.72
441	445138.5403
442	444948.1715
443	444666.2234
444	444426.4375
445	444282.088
446	444209.895
447	444052.7302
448	443955.8537
449	443756.7565
